Internship_id,Intrnship_Title,Company_Name,Industry,Company_Type,Internship_Type,City,State,Work_Mode,Department,Duration,Stipend_Min,Stipend_Max,Source_Platform,Post_Link
A485,Human Resources,NexGen Innovators IT Services Private Limited,IT/ Technology,Startup,Full-time,Delhi,Delhi,Remote,Talent Acquisition & Recruitment,3 Months,7000,15000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-nexgen-innovators-it-services-private-limited1784013011
A486,Human Resources,DNI NETWORK,Consulting,Startup,Full-time,Thiruvananthapuram,Kerala,Remote,Talent Acquisition & Recruitment,3 Months,3000,5000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-thiruvananthapuram-at-dni-network1784010129
A487,HR operations,DNI NETWORK,Consulting,Startup,Full-time,Thiruvananthapuram,Kerala,Remote,HR Operations,6 Months,3000,5000,Internshala,https://internshala.com/internship/detail/hr-operations-internship-in-thiruvananthapuram-at-dni-network1784006732
A488,Human Resources,Creative Mediapulse Technologies Private Limited (CMPTL),"Media/ Entertainment, E-commerce, Advertising/ Marketing, Consulting, Animation",Enterprise,Part-time,Noida,Delhi,Remote,Talent Acquisition & Recruitment,6 Months,6000,20000,Internshala,https://internshala.com/internship/detail/work-from-home-part-time-human-resources-hr-internship-at-creative-mediapulse-technologies-private-limited-cmptl1784004081
A489,Human Resources,Build Your English,Education/ Teaching/ Training,Startup,Part-time,Nainital,Uttarakhand,Remote,Talent Acquisition & Recruitment,2 Months,1000,1001,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-build-your-english1784004089
A490,Human Resources,Digital Heroes,"IT/ Technology, Advertising/ Marketing",SME,Full-time,Lucknow,Uttar Pradesh,Remote,Talent Acquisition & Recruitment,3 Months,20000,25000,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-digital-heroes1783964343
A491,Talent Acquisition,Flipspaces,Architecture/ Interior Design,SME,Part-time,Mumbai,Maharashtra,Remote,Talent Acquisition & Recruitment,3 Months,10000,12000,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-mumbai-at-flipspaces1783957172
A492,Human Resources,Astrotalk,IT/ Technology,SME,Full-time,Noida,Uttar Pradesh,Remote,Talent Acquisition & Recruitment,3 Months,14000,18000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-noida-at-astrotalk1783942376
A493,Human Resources,Traya Health,Wellness/ Fitness/ Sports/ Beauty,SME,Full-time,Mumbai,Maharashtra,Remote,Talent Acquisition & Recruitment,6 Months,15000,25000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-traya-health1783939618
A494,Human Resources,Inorbvict Healthcare India Private Limited,"Hospitals/ Healthcare/ Medical, Export/ Import",Startup,Full-time,Pune,Maharashtra,Remote,Talent Acquisition & Recruitment,3 Months,5999,6000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-inorbvict-healthcare-india-private-limited1783939591
A495,Human Resources,CBS Ventures,Consulting,Startup,Full-time,Kochi,Kerala,Remote,Talent Acquisition & Recruitment,6 Months,6000,10000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-kochi-at-cbs-ventures1783936907
A496,Human Resources,Miheer Landmarks Private Limited,Real Estate/ Property,Startup,Full-time,Kalyan,Maharashtra,Remote,Talent Acquisition & Recruitment,3 Months,15000,20000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-kalyan-at-miheer-landmarks-private-limited1783935932
A497,Talent Acquisition,UGLY,Advertising/ Marketing,Startup,Full-time,Bangalore,Karnataka,Hybrid,Talent Acquisition & Recruitment,6 Months,18000,20000,Internshala,https://internshala.com/internship/detail/creator-talent-partnerships-internship-in-bangalore-at-ugly1783932164
A498,HR operations,Material Depot,"E-commerce, Retail",Startup,Full-time,Bangalore,Karnataka,Remote,HR Operations,3 Months,20000,25000,Internshala,https://internshala.com/internship/detail/hr-operations-internship-in-bangalore-at-material-depot1783928565
A499,Human Resources,BABY DINO,"E-commerce, Advertising/ Marketing",Startup,Full-time,Jaipur,Rajasthan,Remote,Talent Acquisition & Recruitment,2 Months,1000,1000,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-baby-dino1783925281
A500,Human Resources,Login2Xplore,IT/ Technology,Startup,Full-time,Indore,Madhya Pradesh,Remote,Talent Acquisition & Recruitment,3 Months,6000,7500,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-technical-internship-at-login2xplore1783922992
A501,Human Resources,West Coast Pharmaceuticals Works Limited,Pharma,SME,Full-time,Ahmedabad,Gujarat,Remote,Talent Acquisition & Recruitment,6 Months,14000,15000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-ahmedabad-at-west-coast-pharmaceuticals-works-limited1783866611
A502,HR,Buzdealz Ventures Private Limited,Advertising/ Marketing,Startup,Full-time,Mumbai,Maharashtra,Remote,,2 Months,10000,25000,Internshala,https://internshala.com/internship/detail/work-from-home-hr-management-internship-at-buzdealz-ventures-private-limited1783855020
A503,Recruitment,APEX I SOFT TECHNOLOGIES PRIVATE LIMITED,IT/ Technology,SME,Full-time,Pimpri-Chinchwad,Maharashtra,Remote,Talent Acquisition & Recruitment,3 Months,15000,25000,Internshala,https://internshala.com/internship/detail/recruitment-internship-in-pimpri-chinchwad-at-apex-i-soft-technologies-private-limited1783838925
A504,Human Resources,Unique Org,Advertising/ Marketing,SME,Full-time,Chennai,Tamil Nadu,Remote,Talent Acquisition & Recruitment,3 Months,5000,7000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-chennai-at-unique-org1783770914
A505,Recruitment,Jobs Territory,Recruitment,SME,Full-time,Bangalore,Karnataka,Remote,Talent Acquisition & Recruitment,6 Months,15000,20000,Internshala,https://internshala.com/internship/detail/recruitment-internship-in-bangalore-at-jobs-territory1783770166
A506,Human Resources,Dekhega India,"Media/ Entertainment, Advertising/ Marketing",Startup,Full-time,Delhi,Delhi,Remote,Talent Acquisition & Recruitment,2 Months,5000,10000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-dekhega-india1783763338
