Internship_id,Internship_Title,Company_Name,Industry,Company_Type,Internship_Type,City,State,Work_Mode,Department,Duration,Stipend_Min,Stipend_Max,Source_Platform,Post_Link,Duration_Months,Duration_Category,Stipend_Status,Average_Stipend
A793,HR operations,Amplify Health,"Insurance, Hospitals and Health Care, and Technology, Information and Media",Not Specified,Full-time,Gurugram,Haryana,Not Specified,HR Operations,,,,LinkedIn,https://in.linkedin.com/jobs/view/senior-hrbp-hr-operations-india-at-amplify-health-4444889249?position=1&pageNum=0&refId=eEs5pGyk84%2BlJNon9hyNCw%3D%3D&trackingId=sOGIX4VZEn2amz6tlhJRXA%3D%3D,,Not Specified,Not Specified,
A794,HR Intern,Pepper Communications Group,Public Relations and Communications Services,Not Specified,Full-time,Bengaluru,Karnataka,Not Specified,HR Operations,,,,LinkedIn,https://in.linkedin.com/jobs/view/hr-intern-at-pepper-communications-group-4385923413?position=4&pageNum=0&refId=5DtXiaDHhrDtJX2tPUBVBQ%3D%3D&trackingId=K%2FjjsPB39rr4%2FBn0ywkaqw%3D%3D,,Not Specified,Not Specified,
A795,HR Intern,Datacultr,"Technology, Information and Internet",Not Specified,Full-time,Gurugram,Haryana,Not Specified,Talent Acquisition & Recruitment,,,,LinkedIn,https://in.linkedin.com/jobs/view/talent-acquisition-intern-executive-at-datacultr-4439145348?position=7&pageNum=0&refId=5DtXiaDHhrDtJX2tPUBVBQ%3D%3D&trackingId=H3sLRtXjr5NXYY%2B1wq0ajg%3D%3D,,Not Specified,Not Specified,
A796,HR Intern,OneMagnify,Advertising Services,Not Specified,Full-time,Chennai,Tamil Nadu,Not Specified,HR Operations,,,,LinkedIn,https://in.linkedin.com/jobs/view/hr-interns-at-onemagnify-4380815701?position=9&pageNum=0&refId=5DtXiaDHhrDtJX2tPUBVBQ%3D%3D&trackingId=VR7SAIkHv5oqaK5sgkeinA%3D%3D,,Not Specified,Not Specified,
A797,HR Intern,Linearloop,Human Resources Services,Not Specified,Full-time,Ahmedabad,Gujarat,Not Specified,People Engagement & Culture Development,,,,LinkedIn,https://in.linkedin.com/jobs/view/hr-operations-employee-engagement-intern-at-linearloop-4425235768?position=1&pageNum=2&refId=8p1j3QiptNQLwRUQ0L8LLA%3D%3D&trackingId=cFUiQFcQkBfW%2BepmQB5FJQ%3D%3D,,Not Specified,Not Specified,
A798,HR Intern,Durapid Technologies Private Limited,IT Services and IT Consulting,Not Specified,Full-time,Jaipur,Rajasthan,Not Specified,Talent Acquisition & Recruitment,,,,LinkedIn,https://in.linkedin.com/jobs/view/talent-acquisition-associate-intern-at-durapid-technologies-private-limited-4444323006?position=2&pageNum=2&refId=8p1j3QiptNQLwRUQ0L8LLA%3D%3D&trackingId=KGxoXTYS%2BoT%2FnBmyUCXRlA%3D%3D,,Not Specified,Not Specified,
A799,HR Intern,JobTrade,Software Development,Not Specified,Full-time,Bengaluru,Karnataka,Not Specified,HR Operations,,,,LinkedIn,https://in.linkedin.com/jobs/view/hr-intern-kam-at-jobtrade-4448559612?position=3&pageNum=2&refId=8p1j3QiptNQLwRUQ0L8LLA%3D%3D&trackingId=4DBWAynC0ZiQDiLIa1T1YA%3D%3D,,Not Specified,Not Specified,
A800,HR Intern,Fission Labs,Software Development,Not Specified,Full-time,Hyderabad,Telangana,Not Specified,HR Operations,,,,LinkedIn,https://in.linkedin.com/jobs/view/hr-intern-63956-at-fission-labs-4445933068?position=4&pageNum=2&refId=8p1j3QiptNQLwRUQ0L8LLA%3D%3D&trackingId=XToIt6yqKJfIVKfPO4E4oQ%3D%3D,,Not Specified,Not Specified,
A801,HR Intern,Marketing Mojito,Advertising Services,Not Specified,Not Specified,Mumbai,Maharashtra,Not Specified,HR Operations,,,,LinkedIn,https://in.linkedin.com/jobs/view/hr-intern-at-marketing-mojito-4411662358?position=5&pageNum=2&refId=8p1j3QiptNQLwRUQ0L8LLA%3D%3D&trackingId=DVEi8EVbH0r6UHig9Gwmyw%3D%3D,,Not Specified,Not Specified,
A802,HR Intern,Kapiva,Wellness and Fitness Services,Not Specified,Full-time,Bengaluru,Karnataka,Not Specified,Talent Acquisition & Recruitment,,,,LinkedIn,https://in.linkedin.com/jobs/view/human-resources-intern-at-kapiva-4446790924?position=6&pageNum=2&refId=8p1j3QiptNQLwRUQ0L8LLA%3D%3D&trackingId=%2F6ckWRT9nE4T6Vby2V1oQw%3D%3D,,Not Specified,Not Specified,
